Character;EXT;NEU;AGR;CON;OPN;EXT_MEAN;NEU_MEAN;AGR_MEAN;CON_MEAN;OPN_MEAN;Type
dumbledore;0.803347280334728;0.9205020920502092;0.4602510460251046;0.3138075313807531;0.99581589958159;0;0;0;0;1;OPN
mcgonagall;0.8741721854304636;0.9470198675496688;0.40397350993377484;0.2185430463576159;1.0;0;0;0;0;1;OPN
hagrid;0.8524173027989822;0.9211195928753181;0.46055979643765904;0.2010178117048346;0.9949109414758269;0;0;0;0;1;OPN
petunia;0.8444444444444444;0.9777777777777777;0.5555555555555556;0.2222222222222222;1.0;0;0;0;0;1;OPN
dudley;0.9473684210526315;0.9473684210526315;0.3684210526315789;0.21052631578947367;1.0;0;0;0;0;1;OPN
vernon;0.8947368421052632;0.9473684210526315;0.47368421052631576;0.2631578947368421;1.0;0;0;0;0;1;OPN
harry;0.9133398247322297;0.9581304771178188;0.4011684518013632;0.13534566699123662;1.0;0;0;0;0;1;OPN
snake;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
someone;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
barkeep tom;1.0;1.0;0.5;0.5;1.0;1;1;0;0;1;OPN
man;1.0;1.0;0.5714285714285714;0.0;1.0;1;1;0;0;1;OPN
witch;0.8;1.0;0.8;0.2;1.0;0;1;0;0;1;OPN
quirrell;0.8571428571428571;0.8571428571428571;0.37142857142857144;0.2;1.0;0;0;0;0;1;OPN
boy;1.0;1.0;0.3333333333333333;0.2222222222222222;1.0;1;1;0;0;1;OPN
goblin;1.0;1.0;1.0;0.0;1.0;1;1;1;0;1;OPN
griphook;1.0;1.0;0.25;0.0;1.0;1;1;0;0;1;OPN
ollivander;0.8947368421052632;0.9473684210526315;0.42105263157894735;0.15789473684210525;1.0;0;0;0;0;1;OPN
trainmaster;1.0;1.0;1.0;0.0;1.0;1;1;1;0;1;OPN
mrs. weasley;0.8783783783783784;0.918918918918919;0.4864864864864865;0.20270270270270271;0.9864864864864865;0;0;0;0;1;OPN
george;0.8064516129032258;1.0;0.5483870967741935;0.1935483870967742;1.0;0;1;0;0;1;OPN
fred;0.8157894736842105;0.9736842105263158;0.47368421052631576;0.10526315789473684;1.0;0;0;0;0;1;OPN
ginny;0.8571428571428571;1.0;0.42857142857142855;0.0;1.0;0;1;0;0;1;OPN
ron;0.9102803738317757;0.9551401869158879;0.42990654205607476;0.15700934579439252;1.0;0;0;0;0;1;OPN
woman;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
hermione;0.878099173553719;0.9359504132231405;0.44834710743801653;0.1962809917355372;1.0;0;0;0;0;1;OPN
neville;0.9142857142857143;0.9714285714285714;0.45714285714285713;0.02857142857142857;1.0;0;0;0;0;1;OPN
malfoy;0.9428571428571428;0.9428571428571428;0.45714285714285713;0.2;1.0;0;0;0;0;1;OPN
whispers;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
sorting hat;0.8181818181818182;1.0;0.5454545454545454;0.09090909090909091;1.0;0;1;0;0;1;OPN
seamus;0.8666666666666667;0.9666666666666667;0.4;0.16666666666666666;1.0;0;0;0;0;1;OPN
percy;0.9069767441860465;0.9302325581395349;0.4186046511627907;0.27906976744186046;1.0;0;0;0;0;1;OPN
sir nicholas;0.9230769230769231;0.8461538461538461;0.3076923076923077;0.0;1.0;0;0;0;0;1;OPN
girl;1.0;1.0;0.75;0.25;1.0;1;1;0;0;1;OPN
man in paint;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
fat lady;0.7777777777777778;0.7777777777777778;0.1111111111111111;0.2222222222222222;1.0;0;0;0;0;1;OPN
snape;0.8333333333333334;0.9333333333333333;0.4583333333333333;0.25833333333333336;0.9833333333333333;0;0;0;0;1;OPN
dean;1.0;1.0;0.25;0.0;1.0;1;1;0;0;1;OPN
madam hooch;1.0;0.9583333333333334;0.5416666666666666;0.041666666666666664;1.0;1;0;0;0;1;OPN
class;1.0;1.0;0.16666666666666666;0.0;1.0;1;1;0;0;1;OPN
filch;0.8979591836734694;0.9387755102040817;0.42857142857142855;0.2653061224489796;1.0;0;0;0;0;1;OPN
all;1.0;1.0;1.0;0.0;1.0;1;1;1;0;1;OPN
oliver;0.8695652173913043;0.8260869565217391;0.391304347826087;0.2608695652173913;1.0;0;0;0;0;1;OPN
flitwick;0.9166666666666666;0.8333333333333334;0.5833333333333334;0.25;1.0;0;0;0;0;1;OPN
draco;0.8936170212765957;0.925531914893617;0.35106382978723405;0.13829787234042554;1.0;0;0;0;0;1;OPN
ron and harry;1.0;1.0;0.5;0.0;1.0;1;1;0;0;1;OPN
oiiver;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
lee jordan;1.0;0.9333333333333333;0.2;0.13333333333333333;1.0;1;0;0;0;1;OPN
gryffindors;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
flint;1.0;1.0;0.25;0.25;1.0;1;1;0;0;1;OPN
crowd;1.0;1.0;1.0;0.0;1.0;1;1;1;0;1;OPN
lee  jordan;0.0;1.0;0.0;0.0;1.0;0;1;0;0;1;OPN
hermoine;1.0;0.5;0.0;0.5;1.0;1;0;0;0;1;OPN
all 3;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
