Character,Tokens,Size_of_vocab,Avg_length,Prop_stop_word
HARRY,1361,729,4.4058441558441555,53.72144436256448
AUNTPETUNIA,20,14,3.3333333333333335,70.0
UNCLEVERNON,85,52,4.473684210526316,61.1764705882353
AUNTMARGE,241,113,6.486486486486487,47.083333333333336
STANSHUNPIKE,168,76,6.222222222222222,45.23809523809524
"
STANSHUNPIKE",14,5,14.0,35.714285714285715
SHRUNKENHEAD,93,66,5.8125,70.96774193548387
TOM,22,14,5.5,63.63636363636363
FUDGE,367,187,6.672727272727273,50.95367847411444
VENDOR,9,5,8.0,62.5
HOUSEKEEPER,5,5,5.0,100.0
RON,771,425,5.086092715231788,55.338541666666664
HERMIONE,979,550,5.067357512953368,56.23721881390593
GEORGE,123,61,5.590909090909091,49.59349593495935
FRED,91,51,3.64,56.043956043956044
MRS.WEASLEY,29,20,2.9,68.96551724137932
MR.WEASLEY,136,68,7.555555555555555,50.0
LUPIN,1431,721,6.913043478260869,50.3843466107617
DUMBLEDORE,625,321,8.223684210526315,51.36
DRACO,229,130,5.973684210526316,57.268722466960355
SEAMUS,57,29,3.5625,50.87719298245614
FATLADY,47,24,5.222222222222222,51.06382978723404
DEAN,12,6,4.0,50.0
TRELAWNEY,293,148,7.512820512820513,50.51194539249147
NEVILLE,43,27,3.5833333333333335,62.7906976744186
BEM,53,31,6.625,58.490566037735846
HAGRID,558,300,5.742268041237113,53.85996409335727
PANSYPARKINSON,5,3,5.0,60.0
BOY,6,4,3.0,66.66666666666667
CLASS,2,2,1.0,100.0
PARVATI,1,1,1.0,100.0
MCGONAGALL,168,99,7.636363636363637,58.92857142857143
FILCH,33,20,4.714285714285714,60.60606060606061
PERCY,60,36,5.0,60.0
GINNY,5,4,5.0,80.0
TEACHER,6,4,6.0,66.66666666666667
SNAPE,426,217,6.983606557377049,50.93896713615023
CROWD,3,3,3.0,100.0
MAN,7,4,3.5,57.142857142857146
FRED&GEORGE,11,6,2.75,54.54545454545455
WITCH,6,2,6.0,33.333333333333336
CRABBE,4,3,2.0,75.0
MADAMROSMERTA,75,40,5.769230769230769,53.333333333333336
SHRUNKENHEAD1,10,8,3.3333333333333335,80.0
SHRUNKENHEAD2,13,7,4.333333333333333,53.84615384615385
VOICE,22,11,4.4,50.0
GOYLE,11,8,2.75,72.72727272727273
SIRIUS,489,243,6.957142857142857,49.89733059548254
PETTIGREW,111,57,5.842105263157895,51.351351351351354
BOY1,3,2,3.0,66.66666666666667
BOY2,3,3,3.0,100.0
