Character,Tokens,Size_of_vocab,Avg_length,Prop_stop_word
dumbledore,2106,1058,8.803347280334728,50.2851711026616
mcgonagall,1234,631,8.118421052631579,51.13452188006483
hagrid,2543,1377,6.439086294416244,54.27670476941269
petunia,292,117,6.304347826086956,40.3448275862069
dudley,93,53,4.35,60.91954022988506
vernon,217,114,5.564102564102564,52.534562211981566
harry,5146,2697,4.957198443579767,52.923861852433284
snake,1,1,1.0,100.0
someone,1,1,1.0,100.0
barkeep tom,12,8,4.0,66.66666666666667
man,25,20,3.125,80.0
witch,34,20,5.666666666666667,58.8235294117647
quirrell,223,119,6.194444444444445,53.36322869955157
boy,40,26,4.0,65.0
goblin,10,5,5.0,50.0
griphook,10,10,2.0,100.0
ollivander,135,66,6.75,48.888888888888886
trainmaster,20,12,6.666666666666667,60.0
mrs. weasley,433,236,5.56,56.594724220623505
george,176,94,5.5,53.40909090909091
fred,171,101,4.333333333333333,59.76331360946745
ginny,35,21,4.375,60.0
ron,2655,1480,4.902985074626866,56.3165905631659
woman,5,3,5.0,60.0
hermione,2620,1444,5.397938144329897,55.15660809778457
neville,172,88,4.777777777777778,51.16279069767442
malfoy,201,107,5.583333333333333,53.233830845771145
whispers,2,2,2.0,100.0
sorting hat,120,63,5.217391304347826,52.5
seamus,137,79,4.419354838709677,57.66423357664234
percy,237,134,5.25,58.00865800865801
sir nicholas,59,37,4.214285714285714,62.71186440677966
girl,18,11,3.6,61.111111111111114
man in paint,3,2,3.0,66.66666666666667
fat lady,48,25,4.8,52.083333333333336
snape,987,493,8.15702479338843,49.949341438703144
dean,23,13,4.6,56.52173913043478
madam hooch,195,103,7.76,53.09278350515464
class,15,12,2.142857142857143,80.0
filch,269,145,5.38,53.90334572490706
all,2,2,1.0,100.0
oliver,173,94,7.208333333333333,54.335260115606935
flitwick,63,41,4.846153846153846,65.07936507936508
draco,566,310,5.936842105263158,54.9645390070922
ron and harry,7,2,2.3333333333333335,28.571428571428573
oiiver,2,2,2.0,100.0
lee jordan,106,72,6.625,67.9245283018868
gryffindors,1,1,1.0,100.0
flint,19,13,3.8,68.42105263157895
crowd,10,10,3.3333333333333335,100.0
lee  jordan,13,10,6.5,76.92307692307692
hermoine,38,18,12.666666666666666,47.36842105263158
all 3,6,3,6.0,50.0
firenze,112,50,8.0,44.642857142857146
voldemort,160,73,6.115384615384615,45.911949685534594
students,2,2,2.0,100.0
uncle vernon,406,195,7.0588235294117645,54.166666666666664
aunt petunia,40,23,4.444444444444445,57.5
dobby,482,306,6.739130434782608,65.80645161290323
aunt petunia & dudley,1,1,1.0,100.0
mr. weasley,263,133,6.538461538461538,52.15686274509804
"fred, george, ron",2,2,2.0,100.0
"fred, george, ron, harry",2,1,2.0,50.0
mr. borgin,60,31,6.0,51.666666666666664
lucius malfoy,483,246,6.44,50.93167701863354
photographer,25,15,4.166666666666667,60.0
lockhart,77,45,9.625,58.44155844155844
harry and ron,7,7,1.75,100.0
professor sprout,151,78,7.55,51.65562913907285
penelope clearwater,4,4,4.0,100.0
colin,16,11,5.333333333333333,68.75
gilderoy lockhart,760,405,6.725663716814159,53.28947368421053
cornish pixies,4,1,4.0,25.0
wood,95,61,6.714285714285714,64.8936170212766
voice,61,37,2.9047619047619047,60.65573770491803
picture,4,3,4.0,75.0
slytherins,2,2,2.0,100.0
madam pomfrey,73,35,5.615384615384615,47.945205479452056
moaning myrtle,217,109,8.68,50.23041474654378
justin finch-fletchley,5,1,5.0,20.0
crabbe,6,5,2.0,83.33333333333333
diary,25,16,5.0,64.0
tom riddle,640,321,9.142857142857142,50.15625
harry-ron-hermione,1,0,1.0,0.0
fudge,413,218,6.3538461538461535,52.78450363196126
aragog,132,58,6.55,44.274809160305345
student,14,12,4.666666666666667,85.71428571428571
aunt marge,241,113,6.486486486486487,47.083333333333336
stan shunpike,182,81,6.5,44.505494505494504
shrunken head,93,66,5.8125,70.96774193548387
tom,22,14,5.5,63.63636363636363
vendor,9,5,8.0,62.5
housekeeper,5,5,5.0,100.0
lupin,1431,721,6.913043478260869,50.3843466107617
trelawney,293,148,7.512820512820513,50.51194539249147
bem,53,31,6.625,58.490566037735846
pansy parkinson,5,3,5.0,60.0
parvati,1,1,1.0,100.0
teacher,6,4,6.0,66.66666666666667
fred & george,11,6,2.75,54.54545454545455
madam rosmerta,75,40,5.769230769230769,53.333333333333336
shrunken head 1,10,8,3.3333333333333335,80.0
shrunken head 2,13,7,4.333333333333333,53.84615384615385
goyle,11,8,2.75,72.72727272727273
sirius,489,243,6.957142857142857,49.89733059548254
pettigrew,111,57,5.842105263157895,51.351351351351354
boy 1,3,2,3.0,66.66666666666667
boy 2,3,3,3.0,100.0
