Character;EXT;NEU;AGR;CON;OPN;Cosine;Sentence
dumbledore;0;1;0;1;1;0.5773502691896258;i should've known that you would be here, professor mcgonagall. 
dumbledore;1;1;1;1;1;0.4472135954999579; i'm afraid so, professor. 
dumbledore;1;1;0;0;1;0.5773502691896258; the good and the bad. 
dumbledore;1;1;1;0;1;0.5; hagrid is bringing him. 
dumbledore;0;1;0;1;1;0.5773502691896258; ah, professor, i would trust hagrid with my life. 
dumbledore;1;1;0;1;1;0.5; no problems, i trust, hagrid? 
dumbledore;1;1;1;0;1;0.5; albus, do you really think it's safe, leaving him with these people? 
dumbledore;1;1;1;1;1;0.4472135954999579; the only family he has. 
dumbledore;1;1;0;0;1;0.5773502691896258; exactly. 
dumbledore;1;0;0;1;1;0.5773502691896258; he's far better off growing up away from all of that. 
dumbledore;1;0;0;0;1;0.7071067811865475; until he's ready. 
dumbledore;1;1;1;0;1;0.5; there, there, hagrid. 
dumbledore;1;1;0;1;1;0.5; it's not really goodbye, after all. 
dumbledore;1;1;1;0;1;0.5; good luck...harry potter. 
dumbledore;1;1;1;0;1;0.5; i have a few start-of-term notices i wish to announce. 
dumbledore;1;1;1;1;1;0.4472135954999579; the first years, please note that the dark forest is strictly forbidden to all students. 
dumbledore;1;1;0;0;1;0.5773502691896258; also, our caretaker, mr. filch, has asked me to remind you that the third-floor corridor on the right hand side is out of bounds to everyone who does not wish to die a most painful death. 
dumbledore;1;1;0;0;1;0.5773502691896258; thank you. 
dumbledore;1;1;0;0;1;0.5773502691896258; let the feast begin. 
dumbledore;1;1;0;0;1;0.5773502691896258; sillllleeennnnceeeee! 
dumbledore;1;1;0;0;1;0.5773502691896258;  everyone will please, not panic.  
dumbledore;1;1;0;0;1;0.5773502691896258; now, prefects will lead their houses back to the dormitories.  
dumbledore;1;1;0;1;1;0.5; teachers will follow me to the dungeons. 
dumbledore;1;1;1;0;1;0.5; back again, harry? 
dumbledore;0;1;1;0;1;0.5773502691896258; i see that you, like so many before you, have discovered the delights of the mirror of erised.  
dumbledore;1;1;0;1;1;0.5; i trust by now you realize what it does.  
dumbledore;1;1;0;0;1;0.5773502691896258; let me give you a clue.  
dumbledore;0;0;1;0;1;0.7071067811865475; the happiest man on earth would look into the mirror and see only himself, exactly as he is. 
dumbledore;1;1;0;0;1;0.5773502691896258; yes...and no.  
dumbledore;0;1;0;0;1;0.7071067811865475; it shows us nothing more or less than the deepest, most desperate desires of our hearts.  
dumbledore;1;0;1;0;1;0.5773502691896258; now you, who have never known your family, you see them standing beside you.  
dumbledore;1;1;1;0;1;0.5; but remember this, harry.  
dumbledore;0;1;0;0;1;0.7071067811865475; this mirror gives us neither knowledge or truth.  
dumbledore;1;1;0;0;1;0.5773502691896258; men have wasted away in front of it, even gone mad.  
dumbledore;1;1;0;1;1;0.5; that is why tomorrow it will be moved to a new home, and i must ask you not to go looking for it again. 
dumbledore;1;1;0;0;1;0.5773502691896258; it does not do to dwell on dreams, harry, and forget to live. 
dumbledore;1;1;0;1;1;0.5; good afternoon, harry.  
dumbledore;0;1;1;1;1;0.5; ah. tokens from your admirers? 
dumbledore;1;1;1;0;1;0.5; what happened down in the dungeons between you and professor quirrell is a complete secret, so, naturally, the whole school knows.  
dumbledore;0;0;1;1;1;0.5773502691896258; ah, i see your friend ronald has saved you the trouble of opening your chocolate frogs. 
dumbledore;1;1;1;1;1;0.4472135954999579; fine. they're both just fine. 
dumbledore;0;1;0;0;1;0.7071067811865475; relax, dear boy. the stone has been destroyed.  
dumbledore;1;1;0;0;1;0.5773502691896258; my friend nicholas and i had a little chat and agreed it was best all around. 
dumbledore;1;1;0;0;1;0.5773502691896258; he has enough elixir to set his affairs in order.  
dumbledore;1;1;1;0;1;0.5; but yes, he will die. 
dumbledore;1;1;0;1;1;0.5; ah. you see, only a person who wanted to find the stone, find it, but not use it, would be able to get it.  
dumbledore;1;1;1;0;1;0.5; that is one of my more brilliant ideas.  
dumbledore;1;1;1;0;1;0.5; and between you and me thats saying something. 
dumbledore;0;1;0;0;1;0.7071067811865475; ah, i'm afraid there are ways in which he can return.  
dumbledore;1;1;0;1;1;0.5; harry, do you know why professor quirrell couldn't bear to have you touch him? 
dumbledore;1;1;0;1;1;0.5; it was because of your mother.  
dumbledore;1;1;1;0;1;0.5; she sacrificed herself for you, and that kind of act leaves a mark.  
dumbledore;1;1;0;1;1;0.5; no, no, this kind of mark cannot be seen. 
dumbledore;0;1;0;0;1;0.7071067811865475; it lives in your very skin. 
dumbledore;1;1;1;0;1;0.5; love, harry, love.  
dumbledore;0;1;1;1;1;0.5; ah. bertie bott's every flavour beans.  
dumbledore;0;0;0;0;1;1.0; i was most unfortunate in my youth to come across a vomit flavoured one, and since then i have lost my liking for them.  
