Character;EXT;NEU;AGR;CON;OPN;Sentence
dumbledore;0;1;0;1;1;i should've known that you would be here, professor mcgonagall. 
dumbledore;1;1;1;1;1; i'm afraid so, professor. 
dumbledore;1;1;0;0;1; the good and the bad. 
dumbledore;1;1;1;0;1; hagrid is bringing him. 
dumbledore;0;1;0;1;1; ah, professor, i would trust hagrid with my life. 
dumbledore;1;1;0;1;1; no problems, i trust, hagrid? 
dumbledore;1;1;1;0;1; albus, do you really think it's safe, leaving him with these people? 
dumbledore;1;1;1;1;1; the only family he has. 
dumbledore;1;1;0;0;1; exactly. 
dumbledore;1;0;0;1;1; he's far better off growing up away from all of that. 
dumbledore;1;0;0;0;1; until he's ready. 
dumbledore;1;1;1;0;1; there, there, hagrid. 
dumbledore;1;1;0;1;1; it's not really goodbye, after all. 
dumbledore;1;1;1;0;1; good luck...harry potter. 
dumbledore;1;1;1;0;1; i have a few start-of-term notices i wish to announce. 
dumbledore;1;1;1;1;1; the first years, please note that the dark forest is strictly forbidden to all students. 
dumbledore;1;1;0;0;1; also, our caretaker, mr. filch, has asked me to remind you that the third-floor corridor on the right hand side is out of bounds to everyone who does not wish to die a most painful death. 
dumbledore;1;1;0;0;1; thank you. 
dumbledore;1;1;0;0;1; let the feast begin. 
dumbledore;1;1;0;0;1; sillllleeennnnceeeee! 
dumbledore;1;1;0;0;1;  everyone will please, not panic.  
dumbledore;1;1;0;0;1; now, prefects will lead their houses back to the dormitories.  
dumbledore;1;1;0;1;1; teachers will follow me to the dungeons. 
dumbledore;1;1;1;0;1; back again, harry? 
dumbledore;0;1;1;0;1; i see that you, like so many before you, have discovered the delights of the mirror of erised.  
dumbledore;1;1;0;1;1; i trust by now you realize what it does.  
dumbledore;1;1;0;0;1; let me give you a clue.  
dumbledore;0;0;1;0;1; the happiest man on earth would look into the mirror and see only himself, exactly as he is. 
dumbledore;1;1;0;0;1; yes...and no.  
dumbledore;0;1;0;0;1; it shows us nothing more or less than the deepest, most desperate desires of our hearts.  
dumbledore;1;0;1;0;1; now you, who have never known your family, you see them standing beside you.  
dumbledore;1;1;1;0;1; but remember this, harry.  
dumbledore;0;1;0;0;1; this mirror gives us neither knowledge or truth.  
dumbledore;1;1;0;0;1; men have wasted away in front of it, even gone mad.  
dumbledore;1;1;0;1;1; that is why tomorrow it will be moved to a new home, and i must ask you not to go looking for it again. 
dumbledore;1;1;0;0;1; it does not do to dwell on dreams, harry, and forget to live. 
dumbledore;1;1;0;1;1; good afternoon, harry.  
dumbledore;0;1;1;1;1; ah. tokens from your admirers? 
dumbledore;1;1;1;0;1; what happened down in the dungeons between you and professor quirrell is a complete secret, so, naturally, the whole school knows.  
dumbledore;0;0;1;1;1; ah, i see your friend ronald has saved you the trouble of opening your chocolate frogs. 
dumbledore;1;1;1;1;1; fine. they're both just fine. 
dumbledore;0;1;0;0;1; relax, dear boy. the stone has been destroyed.  
