Character;EXT;NEU;AGR;CON;OPN;EXT_MEAN;NEU_MEAN;AGR_MEAN;CON_MEAN;OPN_MEAN;Type
dumbledore;0.8326359832635983;0.9414225941422594;0.4602510460251046;0.29707112970711297;1.0;0;0;0;0;1;OPN
mcgonagall;0.8874172185430463;0.9470198675496688;0.3708609271523179;0.23178807947019867;1.0;0;0;0;0;1;OPN
hagrid;0.8804071246819338;0.9287531806615776;0.45038167938931295;0.18829516539440203;1.0;0;0;0;0;1;OPN
petunia;0.8666666666666667;0.9555555555555556;0.5333333333333333;0.26666666666666666;1.0;0;0;0;0;1;OPN
dudley;1.0;0.9473684210526315;0.47368421052631576;0.2631578947368421;1.0;1;0;0;0;1;OPN
vernon;0.868421052631579;0.9210526315789473;0.42105263157894735;0.15789473684210525;1.0;0;0;0;0;1;OPN
harry;0.9357351509250244;0.9659201557935735;0.379746835443038;0.11976630963972736;1.0;0;0;0;0;1;OPN
snake;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
someone;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
barkeep tom;1.0;1.0;0.5;0.5;1.0;1;1;0;0;1;OPN
man;1.0;1.0;0.5714285714285714;0.0;1.0;1;1;0;0;1;OPN
witch;0.8;1.0;0.8;0.2;1.0;0;1;0;0;1;OPN
quirrell;0.8285714285714286;0.9142857142857143;0.4;0.14285714285714285;1.0;0;0;0;0;1;OPN
boy;1.0;1.0;0.4444444444444444;0.2222222222222222;1.0;1;1;0;0;1;OPN
goblin;1.0;1.0;1.0;0.0;1.0;1;1;1;0;1;OPN
griphook;1.0;1.0;0.25;0.0;1.0;1;1;0;0;1;OPN
ollivander;0.8947368421052632;1.0;0.42105263157894735;0.15789473684210525;1.0;0;1;0;0;1;OPN
trainmaster;1.0;1.0;0.5;0.5;1.0;1;1;0;0;1;OPN
mrs. weasley;0.9594594594594594;0.9594594594594594;0.47297297297297297;0.1891891891891892;1.0;0;0;0;0;1;OPN
george;0.8709677419354839;1.0;0.5806451612903226;0.1935483870967742;1.0;0;1;0;0;1;OPN
fred;0.8157894736842105;0.9736842105263158;0.4473684210526316;0.15789473684210525;1.0;0;0;0;0;1;OPN
ginny;0.8571428571428571;1.0;0.5714285714285714;0.2857142857142857;1.0;0;1;0;0;1;OPN
