Character,Tokens,Size_of_vocab,Avg_length,Prop_stop_word
HARRY,2100,1046,5.266666666666667,50.925024342745864
VERNON,17,12,8.5,70.58823529411765
PETUNIA,6,2,4.0,50.0
UNCLEVERNON,321,143,8.59375,52.0
DUDLEY,28,13,4.4,59.09090909090909
AUNTPETUNIA,20,9,6.666666666666667,45.0
DOBBY,482,306,6.739130434782608,65.80645161290323
RON,857,480,4.777142857142858,57.41626794258373
GEORGE,10,10,3.3333333333333335,100.0
FRED,48,29,6.571428571428571,63.04347826086956
AUNT PETUNIA &DUDLEY,1,1,1.0,100.0
MRS.WEASLEY,330,174,5.814814814814815,55.4140127388535
GINNY,28,15,4.666666666666667,53.57142857142857
MR.WEASLEY,127,65,5.666666666666667,54.621848739495796
"FRED,GEORGE,RON",2,2,2.0,100.0
"FRED,GEORGE,RON,HARRY",2,1,2.0,50.0
PERCY,54,28,5.333333333333333,58.333333333333336
MR.BORGIN,60,31,6.0,51.666666666666664
LUCIUSMALFOY,483,246,6.44,50.93167701863354
DRACO,334,178,6.072727272727272,53.293413173652695
WITCH,16,9,5.333333333333333,56.25
HAGRID,536,285,6.536585365853658,53.17164179104478
HERMIONE,725,385,5.942622950819672,53.10344827586207
MAN,6,5,6.0,83.33333333333333
PHOTOGRAPHER,25,15,4.166666666666667,60.0
LOCKHART,77,45,9.625,58.44155844155844
TRAINMASTER,7,3,7.0,42.857142857142854
HARRYANDRON,7,7,1.75,100.0
FILCH,93,50,4.428571428571429,53.763440860215056
SNAPE,217,109,8.037037037037036,50.23041474654378
DUMBLEDORE,744,356,8.443181818181818,47.91386271870794
MCGONAGALL,548,276,8.303030303030303,50.36496350364963
PROFESSORSPROUT,151,78,7.55,51.65562913907285
CLASS,3,3,3.0,100.0
SEAMUS,15,10,3.75,66.66666666666667
PENELOPECLEARWATER,4,4,4.0,100.0
SIRNICHOLAS,14,12,2.3333333333333335,85.71428571428571
COLIN,16,11,5.333333333333333,68.75
DEAN,5,2,5.0,40.0
NEVILLE,38,18,4.75,47.36842105263158
GILDEROYLOCKHART,760,405,6.725663716814159,53.28947368421053
CORNISHPIXIES,4,1,4.0,25.0
WOOD,95,61,6.714285714285714,64.8936170212766
FLINT,13,10,4.333333333333333,76.92307692307692
VOICE,39,26,2.4375,66.66666666666667
BOY,3,2,3.0,66.66666666666667
PICTURE,4,3,4.0,75.0
LEEJORDAN,18,13,4.5,72.22222222222223
SLYTHERINS,2,2,2.0,100.0
MADAMPOMFREY,73,35,5.615384615384615,47.945205479452056
MOANINGMYRTLE,217,109,8.68,50.23041474654378
JUSTINFINCH-FLETCHLEY,5,1,5.0,20.0
SORTINGHAT,28,15,7.0,53.57142857142857
CRABBE,2,2,2.0,100.0
DIARY,25,16,5.0,64.0
TOMRIDDLE,640,321,9.142857142857142,50.15625
HARRY-RON-HERMIONE,1,0,1.0,0.0
FUDGE,46,31,4.6,67.3913043478261
ARAGOG,132,58,6.55,44.274809160305345
STUDENT,14,12,4.666666666666667,85.71428571428571
