Character,EXT_Pos,EXT_Neg,NEU_Pos,NEU_Neg,AGR_Pos,AGR_Neg,CON_Pos,CON_Neg,OPN_Pos,OPN_Neg
dumbledore,175,24,194,31,94,16,64,7,206,33
mcgonagall,110,25,119,25,45,11,28,7,126,26
hagrid,300,47,312,54,145,32,59,15,333,61
petunia,35,5,38,6,20,4,11,1,40,6
dudley,16,4,16,3,8,1,4,1,16,4
vernon,28,6,31,5,16,1,4,2,31,8
harry,830,132,851,142,334,57,104,20,880,148
snake,1,0,1,0,0,0,0,0,1,0
someone,1,0,1,0,1,0,0,0,1,0
barkeep tom,3,0,3,0,2,0,2,0,3,0
man,6,2,6,2,3,2,0,0,6,2
witch,5,0,6,0,5,0,1,0,6,0
quirrell,25,5,27,6,13,2,4,2,30,6
boy,9,1,9,1,5,0,1,1,9,1
goblin,2,0,2,0,1,0,0,0,2,0
griphook,5,0,5,0,1,0,0,0,5,0
ollivander,15,2,18,2,8,0,3,0,18,2
trainmaster,3,0,3,0,1,0,1,0,3,0
mrs. weasley,66,6,66,6,34,2,14,1,69,6
george,24,4,27,5,17,2,5,1,27,5
fred,29,3,35,3,15,3,6,1,35,4
ginny,4,3,5,3,3,1,1,1,5,3
ron,410,81,428,86,200,30,77,16,446,90
woman,1,0,1,0,0,0,0,0,1,0
hermione,337,94,365,95,171,37,79,23,382,103
neville,28,6,29,7,11,3,1,0,29,7
malfoy,30,4,28,6,16,1,7,2,30,6
whispers,1,0,1,0,1,0,1,0,1,0
sorting hat,19,2,21,2,11,0,1,0,21,2
seamus,26,3,27,3,13,1,4,2,28,3
percy,40,1,42,0,21,0,13,0,43,1
sir nicholas,11,2,11,1,4,0,1,0,12,2
girl,4,0,4,1,2,1,0,0,4,1
man in paint,1,0,1,0,0,0,0,0,1,0
fat lady,9,0,9,0,1,0,0,0,9,1
snape,82,21,92,24,42,14,24,8,92,27
dean,5,0,5,0,1,0,0,0,5,0
madam hooch,20,2,20,3,10,2,2,0,22,3
class,7,0,7,0,1,0,1,0,7,0
filch,34,10,36,13,22,3,8,6,37,13
all,2,0,2,0,1,0,0,0,2,0
oliver,18,3,19,2,8,1,7,0,21,3
flitwick,12,0,10,0,6,0,2,1,12,1
draco,71,17,71,18,29,6,11,6,76,19
ron and harry,3,0,3,0,1,0,0,0,3,0
oiiver,0,0,0,1,0,1,0,1,0,1
lee jordan,16,0,14,0,4,0,3,0,16,0
gryffindors,1,0,1,0,1,0,0,0,1,0
flint,5,0,5,0,1,0,0,0,5,0
crowd,3,0,3,0,2,0,0,0,3,0
lee  jordan,1,0,2,0,0,0,0,0,2,0
hermoine,1,1,1,1,1,1,1,1,2,1
all 3,1,0,1,0,0,0,0,0,1,0
firenze,5,5,6,6,2,2,2,1,7,7
voldemort,15,7,17,8,6,1,3,1,18,8
students,1,0,1,0,0,0,0,0,1,0
uncle vernon,36,10,37,10,14,4,9,2,41,10
aunt petunia,9,0,9,0,3,0,0,0,9,0
dobby,49,16,51,15,18,4,19,4,53,16
aunt petunia & dudley,1,0,1,0,0,0,0,0,1,0
mr. weasley,29,10,25,8,15,4,6,3,29,10
"fred, george, ron",1,0,1,0,0,0,0,0,1,0
"fred, george, ron, harry",1,0,1,0,0,0,0,0,1,0
mr. borgin,9,0,10,0,2,0,3,0,10,0
lucius malfoy,55,11,53,14,22,6,13,2,61,14
photographer,6,0,6,0,1,0,4,0,6,0
lockhart,8,0,8,0,1,0,3,0,8,0
harry and ron,4,0,4,0,0,0,0,0,4,0
professor sprout,16,1,18,1,10,1,5,0,19,1
penelope clearwater,1,0,1,0,0,0,0,0,1,0
colin,3,0,3,0,2,0,1,0,3,0
gilderoy lockhart,90,13,92,13,43,6,17,4,99,14
cornish pixies,1,0,1,0,0,0,0,0,1,0
wood,14,0,13,0,7,0,4,0,13,0
voice,10,9,12,9,2,0,2,0,12,9
picture,1,0,1,0,0,0,0,0,1,0
slytherins,1,0,1,0,0,0,0,0,1,0
madam pomfrey,8,3,10,3,5,1,4,0,10,3
moaning myrtle,13,9,15,7,8,5,5,0,16,9
justin finch-fletchley,1,0,1,0,0,0,0,0,1,0
crabbe,3,0,3,0,0,0,0,0,3,0
diary,4,0,5,0,1,0,1,0,5,0
tom riddle,43,12,51,12,16,5,9,5,53,16
harry-ron-hermione,1,0,1,0,0,0,0,0,1,0
fudge,50,12,51,12,21,8,7,1,52,13
aragog,18,1,18,2,5,0,5,1,18,2
student,3,0,3,0,0,0,0,0,3,0
aunt marge,23,6,28,7,11,3,4,0,30,7
stan shunpike,26,1,27,1,9,1,5,0,27,1
shrunken head,13,1,13,1,6,0,4,0,15,1
tom,2,0,4,0,4,0,0,0,4,0
vendor,1,0,1,0,0,0,0,0,1,0
housekeeper,1,0,1,0,0,0,0,0,1,0
lupin,150,26,161,30,71,12,26,6,173,33
trelawney,33,2,31,2,16,1,7,1,37,2
bem,2,2,5,3,1,1,2,1,5,3
pansy parkinson,0,1,0,1,0,0,0,0,0,1
parvati,1,0,1,0,0,0,0,0,1,0
teacher,1,0,1,0,0,0,1,0,1,0
fred & george,3,0,3,1,1,0,0,0,3,1
madam rosmerta,9,2,11,2,3,1,1,1,11,2
shrunken head 1,2,1,2,1,0,1,0,0,2,1
shrunken head 2,2,1,2,1,0,0,1,0,2,1
goyle,4,0,4,0,2,0,1,0,4,0
sirius,49,13,50,14,26,7,11,3,56,14
pettigrew,17,2,17,2,4,1,1,0,17,2
boy 1,1,0,1,0,1,0,0,0,1,0
boy 2,1,0,0,0,0,0,0,0,1,0
